trip_id,arrival_time,departure_time,stop_id,stop_sequence,stop_headsign,pickup_type,drop_off_type,shape_dist_traveled,next_stop_time
2553893,0 days 07:14:00.000000000,0 days 07:14:00.000000000,7504,8,,,,17.4944,2.0
2553893,0 days 07:16:00.000000000,0 days 07:16:00.000000000,7505,9,,,,18.2394,2.0
2553893,0 days 07:18:00.000000000,0 days 07:18:00.000000000,7506,10,,,,19.9023,1.0
2553893,0 days 07:19:00.000000000,0 days 07:19:00.000000000,7507,11,,,,21.0583,2.0
2553893,0 days 07:21:00.000000000,0 days 07:21:00.000000000,7508,12,,,,21.7744,2.0
2553893,0 days 07:23:00.000000000,0 days 07:23:00.000000000,7509,13,,,,22.6286,2.0
2553893,0 days 07:25:00.000000000,0 days 07:25:00.000000000,7510,14,,,,24.2364,-1.0
2553894,0 days 07:03:00.000000000,0 days 07:03:00.000000000,7500,1,,,,,4.0
2553894,0 days 07:07:00.000000000,0 days 07:07:00.000000000,10906,2,,,,5.6206,3.0
2553894,0 days 07:10:00.000000000,0 days 07:10:00.000000000,11422,3,,,,7.8746,2.0
2553894,0 days 07:12:00.000000000,0 days 07:12:00.000000000,4819,4,,,,9.8143,2.0
2553894,0 days 07:14:00.000000000,0 days 07:14:00.000000000,10419,5,,,,11.0505,2.0
2553894,0 days 07:16:00.000000000,0 days 07:16:00.000000000,5585,6,,,,13.2051,4.0
2553894,0 days 07:20:00.000000000,0 days 07:20:00.000000000,7503,7,,,,16.2367,2.0
2553894,0 days 07:22:00.000000000,0 days 07:22:00.000000000,7504,8,,,,17.4944,2.0
2553894,0 days 07:24:00.000000000,0 days 07:24:00.000000000,7505,9,,,,18.2394,2.0
2553894,0 days 07:26:00.000000000,0 days 07:26:00.000000000,7506,10,,,,19.9023,1.0
2553894,0 days 07:27:00.000000000,0 days 07:27:00.000000000,7507,11,,,,21.0583,2.0
2553894,0 days 07:29:00.000000000,0 days 07:29:00.000000000,7508,12,,,,21.7744,2.0
2553894,0 days 07:31:00.000000000,0 days 07:31:00.000000000,7509,13,,,,22.6286,2.0
2553894,0 days 07:33:00.000000000,0 days 07:33:00.000000000,7510,14,,,,24.2364,-1.0
2553895,0 days 07:11:00.000000000,0 days 07:11:00.000000000,7500,1,,,,,4.0
2553895,0 days 07:15:00.000000000,0 days 07:15:00.000000000,10906,2,,,,5.6206,3.0
2553895,0 days 07:18:00.000000000,0 days 07:18:00.000000000,11422,3,,,,7.8746,2.0
2553895,0 days 07:20:00.000000000,0 days 07:20:00.000000000,4819,4,,,,9.8143,2.0
2553895,0 days 07:22:00.000000000,0 days 07:22:00.000000000,10419,5,,,,11.0505,2.0
2553895,0 days 07:24:00.000000000,0 days 07:24:00.000000000,5585,6,,,,13.2051,4.0
2553895,0 days 07:28:00.000000000,0 days 07:28:00.000000000,7503,7,,,,16.2367,2.0
2553895,0 days 07:30:00.000000000,0 days 07:30:00.000000000,7504,8,,,,17.4944,2.0
2553895,0 days 07:32:00.000000000,0 days 07:32:00.000000000,7505,9,,,,18.2394,2.0
2553895,0 days 07:34:00.000000000,0 days 07:34:00.000000000,7506,10,,,,19.9023,1.0
2553895,0 days 07:35:00.000000000,0 days 07:35:00.000000000,7507,11,,,,21.0583,2.0
2553895,0 days 07:37:00.000000000,0 days 07:37:00.000000000,7508,12,,,,21.7744,2.0
2553895,0 days 07:39:00.000000000,0 days 07:39:00.000000000,7509,13,,,,22.6286,2.0
2553895,0 days 07:41:00.000000000,0 days 07:41:00.000000000,7510,14,,,,24.2364,-1.0
2553896,0 days 07:19:00.000000000,0 days 07:19:00.000000000,7500,1,,,,,4.0
2553896,0 days 07:23:00.000000000,0 days 07:23:00.000000000,10906,2,,,,5.6206,3.0
2553896,0 days 07:26:00.000000000,0 days 07:26:00.000000000,11422,3,,,,7.8746,2.0
2553896,0 days 07:28:00.000000000,0 days 07:28:00.000000000,4819,4,,,,9.8143,2.0
2553896,0 days 07:30:00.000000000,0 days 07:30:00.000000000,10419,5,,,,11.0505,2.0
2553896,0 days 07:32:00.000000000,0 days 07:32:00.000000000,5585,6,,,,13.2051,4.0
2553896,0 days 07:36:00.000000000,0 days 07:36:00.000000000,7503,7,,,,16.2367,2.0
2553896,0 days 07:38:00.000000000,0 days 07:38:00.000000000,7504,8,,,,17.4944,2.0
2553896,0 days 07:40:00.000000000,0 days 07:40:00.000000000,7505,9,,,,18.2394,2.0
2553896,0 days 07:42:00.000000000,0 days 07:42:00.000000000,7506,10,,,,19.9023,1.0
2553896,0 days 07:43:00.000000000,0 days 07:43:00.000000000,7507,11,,,,21.0583,2.0
2553896,0 days 07:45:00.000000000,0 days 07:45:00.000000000,7508,12,,,,21.7744,2.0
2553896,0 days 07:47:00.000000000,0 days 07:47:00.000000000,7509,13,,,,22.6286,2.0
2553896,0 days 07:49:00.000000000,0 days 07:49:00.000000000,7510,14,,,,24.2364,-1.0
2553897,0 days 07:27:00.000000000,0 days 07:27:00.000000000,7500,1,,,,,4.0
2553897,0 days 07:31:00.000000000,0 days 07:31:00.000000000,10906,2,,,,5.6206,3.0
2553897,0 days 07:34:00.000000000,0 days 07:34:00.000000000,11422,3,,,,7.8746,2.0
2553897,0 days 07:36:00.000000000,0 days 07:36:00.000000000,4819,4,,,,9.8143,2.0
2553897,0 days 07:38:00.000000000,0 days 07:38:00.000000000,10419,5,,,,11.0505,2.0
2553897,0 days 07:40:00.000000000,0 days 07:40:00.000000000,5585,6,,,,13.2051,4.0
2553897,0 days 07:44:00.000000000,0 days 07:44:00.000000000,7503,7,,,,16.2367,2.0
2553897,0 days 07:46:00.000000000,0 days 07:46:00.000000000,7504,8,,,,17.4944,2.0
2553897,0 days 07:48:00.000000000,0 days 07:48:00.000000000,7505,9,,,,18.2394,2.0
2553897,0 days 07:50:00.000000000,0 days 07:50:00.000000000,7506,10,,,,19.9023,1.0
2553897,0 days 07:51:00.000000000,0 days 07:51:00.000000000,7507,11,,,,21.0583,2.0
2553897,0 days 07:53:00.000000000,0 days 07:53:00.000000000,7508,12,,,,21.7744,2.0
2553897,0 days 07:55:00.000000000,0 days 07:55:00.000000000,7509,13,,,,22.6286,2.0
2553897,0 days 07:57:00.000000000,0 days 07:57:00.000000000,7510,14,,,,24.2364,-1.0
2553898,0 days 07:35:00.000000000,0 days 07:35:00.000000000,7500,1,,,,,4.0
2553898,0 days 07:39:00.000000000,0 days 07:39:00.000000000,10906,2,,,,5.6206,3.0
2553898,0 days 07:42:00.000000000,0 days 07:42:00.000000000,11422,3,,,,7.8746,2.0
2553898,0 days 07:44:00.000000000,0 days 07:44:00.000000000,4819,4,,,,9.8143,2.0
2553898,0 days 07:46:00.000000000,0 days 07:46:00.000000000,10419,5,,,,11.0505,2.0
2553898,0 days 07:48:00.000000000,0 days 07:48:00.000000000,5585,6,,,,13.2051,4.0
2553898,0 days 07:52:00.000000000,0 days 07:52:00.000000000,7503,7,,,,16.2367,2.0
2553898,0 days 07:54:00.000000000,0 days 07:54:00.000000000,7504,8,,,,17.4944,2.0
2553898,0 days 07:56:00.000000000,0 days 07:56:00.000000000,7505,9,,,,18.2394,2.0
2553898,0 days 07:58:00.000000000,0 days 07:58:00.000000000,7506,10,,,,19.9023,1.0
2553898,0 days 07:59:00.000000000,0 days 07:59:00.000000000,7507,11,,,,21.0583,2.0
2553898,0 days 08:01:00.000000000,0 days 08:01:00.000000000,7508,12,,,,21.7744,2.0
2553898,0 days 08:03:00.000000000,0 days 08:03:00.000000000,7509,13,,,,22.6286,2.0
2553898,0 days 08:05:00.000000000,0 days 08:05:00.000000000,7510,14,,,,24.2364,-1.0
2553899,0 days 03:45:00.000000000,0 days 03:45:00.000000000,4819,1,,,,,36.0
