stop_id,stop_code,stop_name,stop_desc,stop_lat,stop_lon,zone_id,stop_url
28210,BT125,SPRINGFIELD,,38.799538,-77.182755,,
28211,BT1250,NAYLOR & ALABAMA,,38.858852,-76.968185,,
28212,BT1254,WILLIAMS DR & WILLOW OAKS,,38.864899,-77.234245,,
28213,BT1255,JASPER & 12TH SE,,38.851151,-76.985252,,
28214,BT1256,OLD GEORGETOWN RD AT CEDAR LN,,39.00452,-77.110725,,
28215,BT1257,WEST CEDAR LA + OLD GEORGETOWN R,,39.004524,-77.110573,,
28216,BT1258,GLEN ARDEN AND MLK,,38.93261,-76.86692,,
28217,BT1259,MASS AVE & 8TH ST NE,,38.891716,-76.994942,,
28218,BT126,BACKLICK & HECHINGER E,,38.796417,-77.185883,,
28219,BT1261,CONTEE ROAD,,39.07626,-76.868217,,
28220,BT1263,4TH & INDEPENDENCE SW,,38.887581,-77.01754,,
28221,BT1264,WHITE OAK S/C + REAR OF SEARS BL,,39.042683,-76.987663,,
28222,BT1265,TAKOMA LANGLEY TRANSIT CTR,,38.989529,-76.988243,,
28223,BT127,EDSALL RD & INDUSTRIAL DR,,38.805962,-77.170395,,
28224,BT1272,COMMERCE ST. & KEENE MILL RD.,,38.77824,-77.191521,,
28225,BT1274,KEENE MILL ROAD & COMMERCE ST.,,38.778248,-77.191498,,
28226,BT1275,ST ELIZABETH GATE 1,,38.855072,-76.996056,,
28227,BT1277,AMMENDALE ROAD,,39.057976,-76.904617,,
28228,BT1280,NEW JERSEY & RHODE ISLAND NW,,38.913769,-77.017776,,
28229,BT1287,FORT BELVOIR PX COMMISSARY,,38.723778,-77.151421,,
28230,BT1288,PHIL WAY & FORBES BLVD,,38.95755,-76.836418,,
28231,BT1289,K ST & 13TH NW,,38.902519,-77.029617,,
28232,BT129,HALF & O STS SW,,38.87294,-77.01062,,
28234,BT1293,F & 12TH ST NW,,38.897343,-77.028091,,
28239,BT13,BROOKLAND STA,,38.933365,-76.993935,,
28246,BT131,7TH & H NW,,38.899811,-77.021912,,
28250,BT132,7TH & FLORIDA NW,,38.916302,-77.021904,,
28256,BT133,GA AVE & IRVING ST NW,,38.929008,-77.023224,,
28262,BT134,GEORGIA AVE-PETWORTH STA,,38.936848,-77.024422,,
28271,BT135,GEORGIA & KENNEDY,,38.956211,-77.028038,,
28282,BT136,GEORGIA & EASTERN,,38.984184,-77.026581,,
28314,BT14,22ND & SOUTH DAKOTA,,38.933388,-76.97422,,
28315,BT140,L'ENFANT PLAZA STA (D&7 SW),,38.884846,-77.021904,,
28323,BT141,PENNSYLVANIA & 24TH NW,,38.902992,-77.051392,,
28330,BT142,M ST & WISCONSIN AVE,,38.905231,-77.062874,,
28335,BT143,ROSSLYN STA,,38.896145,-77.071556,,
28345,BT144,WILSON & VEITCH-CTHS STA,,38.89122,-77.085808,,
28356,BT145,WILSON & HERNDON-CLAR STA,,38.887157,-77.095413,,
28361,BT146,WASH BLVD & QUINCY ST,,38.886055,-77.108147,,
28370,BT147,BALLSTON STA,,38.882179,-77.111794,,
28379,BT148,CLARENDON BLVD & HIGHLAND,,38.887009,-77.09494,,
28395,BT15,AVONDALE (EAST & MICH NE),,38.946068,-76.977684,,
28410,BT152,COURTHOUSE RD & S 2ND ST,,38.871616,-77.081802,,
28428,BT155,TYSONS CORNER CENTER,,38.916363,-77.220734,,
28458,BT160,WEST FALLS CHURCH STA,,38.89978,-77.188202,,
28471,BT162,LEESBURG PK & LISLE AVE,,38.90868,-77.214264,,
28478,BT1636,1405 BRENTWOOD PARKWAY NE,,38.910416,-76.993385,,
28479,BT1637,ALABAMA AVE SE + 38TH ST SE,,38.865257,-76.952217,,
28486,BT1649,DONNELL DR & PENN AVE,,38.844582,-76.884804,,
28487,BT165,LEESBURG PK & RAMADA RD,,38.908047,-77.213562,,
28488,BT1650,EAST CAPITOL & 47TH ST NE,,38.889763,-76.934891,,
28489,BT1651,FRIENDSHIP BLOW PIERCE SCH.,,38.898937,-76.976692,,
28490,BT1652,GORHAM ST. & ROUTE 7,,38.847763,-77.12294,,
28491,BT1653,OKIE ST & 16TH ST NE,,38.915806,-76.980949,,
28492,BT1654,PENNSYLVANIA AVE & 7TH ST SE,,38.884678,-76.996178,,
28493,BT1655,PENNSYLVANIA AVE SE + FORT DAVIS,,38.865253,-76.950516,,
28494,BT1656,RHODE ISLAND AVE& 3RD,,38.919243,-77.002029,,
28495,BT1657,SOUTHERN AVE + MARLBORO PIKE,,38.873821,-76.933861,,
28496,BT1658,SEMINARY RD & MAGNOLIA LANE,,38.845062,-77.12339,,
28497,BT1659,SOUTHERN-BOWEN RD,,38.873817,-76.933853,,
28498,BT166,GEORGIA AVE & SPRING ST,,38.999428,-77.031822,,
28499,BT1660,SOUTHERN AVE & PEAR ST,,38.873371,-76.934402,,
28501,BT1663,16TH & U ST SE,,38.865318,-76.982162,,
28504,BT1666,HUNTER PL & MORRIS RD SE,,38.858688,-76.985771,,
28505,BT1667,MLK & GOOD HOPE RD,,38.867287,-76.988647,,
28506,BT167,GEORGIA & FOREST GLEN,,39.016014,-77.042816,,
28507,BT1673,MARK APTS,,38.81216,-77.126205,,
28508,BT1674,14TH ST & NEW YORK AVE NW,,38.899376,-77.031975,,
28509,BT1675,18TH EAST CAPITAL STREETS,,38.889805,-76.978981,,
28512,BT168,WHEATON STA,,39.037704,-77.050987,,
28515,BT1684,OVERLOOK AVE & CHESAPEAKE,,38.828331,-77.017311,,
28516,BT169,VEIRS MILL-TWINBR'K PKWY,,39.073372,-77.111839,,
28517,BT1690,16TH & SOMERSET PL,,38.966839,-77.036331,,
28518,BT1691,BUZZARD POINT @ AUDI FIELD,,38.869488,-77.013672,,
28522,BT1697,ATLANTIC ST & 1ST ST SE,,38.831207,-77.005882,,
28523,BT17,4TH & RHODE ISLAND NE,,38.919968,-77.000641,,
28524,BT170,MONTGOMERY COLLEGE,,39.096375,-77.158165,,
28530,BT1706,GEORGE MASON & 3713,,38.84203,-77.118423,,
28531,BT1707,STEVENSON AVE & 5951,,38.812832,-77.136131,,
28533,BT1709,S.REYNOLDS & DUKE ST,,38.812943,-77.125145,,
28534,BT171,SHADY GROVE STA (W),,39.119869,-77.164993,,
28535,BT1710,STEVENSON AVE & S. VAN DORN ST,,38.811272,-77.131882,,
28536,BT1711,16TH ST N & NORTH EDISON ST,,38.888206,-77.12529,,
28542,BT1717,DUKE ST & ALEXANDRIA COMMONS,,38.807987,-77.08535,,
28543,BT1718,HUNTSMAN BLVD & BRIDLE WOOD DR,,38.772339,-77.248749,,
28544,BT1719,LEE HWY & NORTH GEORGE MASON DR,,38.896393,-77.133606,,
28545,BT172,VIENNA STA S,,38.877232,-77.271179,,
28546,BT1720,N WASHINGTON & PARK PL,,38.88282,-77.170181,,
28547,BT177,WASHINGTON BLVD & LONGFELLOW ST.,,38.884827,-77.140015,,
28548,BT178,EAST FALLS CHURCH STA,,38.884937,-77.156616,,
28549,BT179,WASHINGTON ST. & PARK AVE.,,38.883144,-77.169914,,
28550,BT18,9TH & H NW,,38.899788,-77.023941,,
28551,BT180,LEE HWY. & WOODLEY PL.,,38.877655,-77.19165,,
28552,BT183,FAIR OAKS MALL (ENTR. J),,38.863575,-77.360313,,
28553,BT184,DUNN LORING STA,,38.881805,-77.230415,,
28554,BT187,LEE HWY. & GRAHAM RD.,,38.877445,-77.192253,,
28555,BT19,FRIENDSHIP HTS STA,,38.961407,-77.085556,,
28556,BT191,DULLES AIRPORT,,38.953541,-77.44754,,
28557,BT192,HERNDON-MONROE PK,,38.951668,-77.382942,,
28558,BT193,P G PLAZA STA,,38.965309,-76.956108,,
28559,BT194,UNIV BLVD & RIGGS RD,,38.983891,-76.979309,,
28560,BT196,UNIV BLVD & COLESVLLE RD,,39.019882,-77.01268,,
28561,BT197,UNIV BLVD @ WARWICK TWRS,,39.036148,-77.027939,,
28562,BT198,TWINBROOK STA (E),,39.062099,-77.119881,,
28563,BT199,GREENBELT CENTER,,39.001263,-76.875107,,
28564,BT2,KENT VILLAGE & CONN,,38.918606,-76.887947,,
28565,BT20,RIVER RD & GOLDSBORO RD,,38.973564,-77.122635,,
28566,BT200,BELTWAY PLAZA,,38.998444,-76.909523,,
28567,BT201,GREENBELT STA,,39.011559,-76.910088,,
28568,BT202,GREENBELT RD & R I AVE,,38.998173,-76.926117,,
28569,BT203,CAMPUS DR & REGENT'S CIR,,38.987766,-76.939049,,
28570,BT204,UNIV BLVD & TULANE DR,,38.985397,-76.958435,,
28571,BT206,CONGRESS HGTS STA,,38.844994,-76.987984,,
28572,BT207,NAYLOR RD & GOOD HOPE,,38.859451,-76.968185,,
28573,BT208,GOOD HOPE & 14TH,,38.866886,-76.98542,,
28574,BT209,NAVY YARD (8TH & L SE),,38.87751,-76.994934,,
28575,BT21,RIVER RD & WILSON LA,,38.983692,-77.137863,,
28576,BT210,8TH & D SE (N),,38.884598,-76.994942,,
28577,BT211,8TH & H NE,,38.899933,-76.994995,,
28578,BT212,FLORIDA & NORTH CAPITOL,,38.910919,-77.009422,,
28579,BT213,FLORIDA & GEORGIA AVE NW,,38.915314,-77.019623,,
28580,BT214,REEVES CTR-U ST & 14TH NW,,38.917004,-77.031952,,
28581,BT215,ANACOSTIA STA,,38.862164,-76.995834,,
28582,BT217,DUKE ELLINGTON BRIDGE,,38.923248,-77.047211,,
28583,BT219,MORRIS & HUNTER SE,,38.858685,-76.985779,,
28584,BT22,RIVER RD & BRADLEY BLVD,,39.00235,-77.181488,,
28585,BT220,FLORIDA & 7TH NW,,38.915936,-77.021141,,
28586,BT221,MLK & U SE (GD HP RD),,38.86657,-76.989006,,
28587,BT222,GOOD HOPE & MLK,,38.867229,-76.987823,,
28588,BT223,KING STREET STA,,38.805756,-77.060974,,
28589,BT224,EISENHOWER & STOVALL ST,,38.801552,-77.073151,,
28590,BT225,HUNTINGTON STATION NORTH,,38.795303,-77.075058,,
28591,BT226,ROUTE 1 & BEACON HILL RD,,38.773582,-77.081078,,
28592,BT227,ROUTE 1 & ARLINGTON DR,,38.754925,-77.083496,,
28593,BT228,ROUTE 1 & LADSON LA,,38.740253,-77.087517,,
28594,BT229,RTE 1 & JEFF TODD,,38.717674,-77.131203,,
28595,BT23,RIVER RD & FALLS RD,,39.018902,-77.208549,,
28596,BT233,MT VERNON HWY,,38.717079,-77.132507,,
28597,BT234,NEW CARROLLTON STA (W),,38.948383,-76.872551,,
28598,BT236,DOCTORS COMM HOSPITAL,,38.981609,-76.865395,,
28599,BT237,GODDARD CORPORATE PARK,,38.991901,-76.822769,,
28600,BT239,NASA-MAIN GATE,,38.990986,-76.852913,,
28601,BT24,FALLS RD & TUCKERMAN LA,,39.050621,-77.187935,,
28602,BT241,CRESCENT & RIDGE,,39.005898,-76.891174,,
28603,BT243,MINNESOTA AVE & PENN AVE,,38.873833,-76.97023,,
28604,BT244,16TH & GOOD HOPE SE,,38.86618,-76.981903,,
28605,BT245,37TH & RIDGE RD SE,,38.887779,-76.95182,,
28606,BT246,37TH & ELY,,38.883713,-76.951454,,
28607,BT247,TEXAS & B (PLUMMER ELEM),,38.887421,-76.940369,,
28608,BT248,HAYES ST-KENILWORTH TERR,,38.900776,-76.947441,,
28609,BT249,MINNESOTA & BENNING,,38.894497,-76.949608,,
28610,BT25,FALLS RD & WOOTTON PKWY,,39.069874,-77.169914,,
28611,BT250,EAST CAPITOL & BENNING,,38.889668,-76.936661,,
28612,BT251,FITCH & 53RD SE,,38.88089,-76.92733,,
28613,BT252,FITCH & 51ST NE,,38.895386,-76.928062,,
28614,BT254,MINNESOTA & BENNING,,38.895596,-76.94873,,
28615,BT255,C & TEXAS (PLUMMER ELEM),,38.886574,-76.939552,,
28616,BT256,MINN & RIDGE (ANAC RD),,38.888554,-76.951851,,
28617,BT257,WILSON & LIVINGSTON,,38.873581,-77.140442,,
28618,BT258,PATRICK HENRY & ARL BLVD,,38.868755,-77.146706,,
28619,BT26,ROCKVILLE STA (W),,39.084549,-77.146858,,
28620,BT260,ARL BLVD & ANNANDALE RD,,38.869686,-77.17466,,
28621,BT261,ARL BLVD & CEDAR HILL RD,,38.866119,-77.207603,,
28622,BT262,FAIRVIEW & ENT MARRIOTT,,38.861874,-77.217056,,
28623,BT263,FAIRFAX HOSPITAL,,38.856701,-77.227356,,
28624,BT264,ARL BLVD & WILLIAMS DR,,38.865543,-77.234261,,
28625,BT265,FAIRFAX CIRCLE,,38.864918,-77.270264,,
28626,BT266,LEE HWY & ROUTE #123,,38.858261,-77.307373,,
28627,BT269,ARL BLVD & JAGUAR TRAIL,,38.865829,-77.207428,,
28628,BT272,LEE HWY & KIRKWOOD RD,,38.895893,-77.097488,,
28629,BT273,LEE HWY & FT MYER DR.,,38.898743,-77.07296,,
28630,BT274,18TH ST & PA AVE NW,,38.899117,-77.041641,,
28631,BT275,MCPHERSON SQ (15TH(W) & K NW),,38.902531,-77.034584,,
28632,BT276,FARRAGUT SQ,,38.899738,-77.04348,,
28633,BT277,LEE HWY& SPOUT RUN PKWY,,38.896069,-77.097336,,
28634,BT279,LAFAYETTE SQ (H & MAD PL NW),,38.900208,-77.035095,,
28635,BT28,WHITE FLINT STATION,,39.047421,-77.112007,,
28636,BT280,H ST & 13TH NW,,38.899933,-77.029472,,
28637,BT281,H ST & 7TH NW,,38.899811,-77.02137,,
28638,BT282,H & NORTH CAPITOL,,38.900208,-77.009583,,
28639,BT283,H & 8TH NE,,38.900227,-76.995651,,
28640,BT284,BENNING & 15TH,,38.899853,-76.981529,,
28641,BT29,RANDOLPH & PARKLAWN,,39.050941,-77.105659,,
28642,BT293,STANTON RD (19-SAVANNAH),,38.846252,-76.976952,,
28643,BT294,COLUMBIA PK & WALT REED,,38.862644,-77.087013,,
28644,BT295,COLUMBIA PK & GEO MASON,,38.858822,-77.101349,,
28645,BT296,COLUMBIA PIKE & BUCHANAN,,38.856701,-77.108528,,
28646,BT297,COLUMBIA PK & CARLIN SPR,,38.85323,-77.1222,,
