route_id,service_id,trip_id,trip_headsign,direction_id,block_id,shape_id,scheduled_trip_id,train_id
GREEN,58,3992318_18934,"BRANCH AVE",1,,96,3992318,505
GREEN,58,3992396_18934,"BRANCH AVE",1,,96,3992396,506
GREEN,58,3992424_18934,"BRANCH AVE",1,,96,3992424,507
GREEN,58,3992391_18934,"BRANCH AVE",1,,96,3992391,508
GREEN,58,3992574_18934,"BRANCH AVE",1,,96,3992574,501
GREEN,58,3992486_18934,"BRANCH AVE",1,,96,3992486,502
GREEN,58,3992540_18934,"BRANCH AVE",1,,96,3992540,503
GREEN,58,3992543_18934,"BRANCH AVE",1,,96,3992543,504
GREEN,58,3992575_18934,"BRANCH AVE",1,,96,3992575,505
GREEN,58,3992539_18934,"BRANCH AVE",1,,96,3992539,506
GREEN,58,3992498_18934,"BRANCH AVE",1,,96,3992498,507
GREEN,58,3992542_18934,"BRANCH AVE",1,,97,3992542,508
GREEN,59,4080376_18934,"BRANCH AVE",1,,98,4080376,504
GREEN,59,4080375_18934,"BRANCH AVE",1,,98,4080375,505
GREEN,59,4080461_18934,"BRANCH AVE",1,,98,4080461,506
GREEN,59,4080381_18934,"BRANCH AVE",1,,98,4080381,501
GREEN,59,4080379_18934,"BRANCH AVE",1,,98,4080379,502
GREEN,59,4080462_18934,"BRANCH AVE",1,,98,4080462,503
GREEN,59,4080378_18934,"BRANCH AVE",1,,98,4080378,504
GREEN,59,4080384_18934,"BRANCH AVE",1,,98,4080384,505
GREEN,59,4080463_18934,"BRANCH AVE",1,,98,4080463,506
GREEN,59,4080385_18934,"BRANCH AVE",1,,98,4080385,501
GREEN,59,4080387_18934,"BRANCH AVE",1,,98,4080387,502
GREEN,59,4080464_18934,"BRANCH AVE",1,,98,4080464,503
GREEN,59,4080389_18934,"BRANCH AVE",1,,98,4080389,504
GREEN,59,4080391_18934,"BRANCH AVE",1,,98,4080391,505
GREEN,59,4080465_18934,"BRANCH AVE",1,,98,4080465,506
GREEN,59,4080397_18934,"BRANCH AVE",1,,98,4080397,501
GREEN,59,4080395_18934,"BRANCH AVE",1,,98,4080395,502
GREEN,59,4080466_18934,"BRANCH AVE",1,,98,4080466,503
GREEN,59,4080398_18934,"BRANCH AVE",1,,98,4080398,504
GREEN,59,4080400_18934,"BRANCH AVE",1,,98,4080400,505
GREEN,59,4080467_18934,"BRANCH AVE",1,,98,4080467,506
GREEN,59,4080402_18934,"BRANCH AVE",1,,98,4080402,501
GREEN,59,4080407_18934,"BRANCH AVE",1,,98,4080407,502
GREEN,59,4080468_18934,"BRANCH AVE",1,,98,4080468,503
GREEN,59,4080406_18934,"BRANCH AVE",1,,98,4080406,504
GREEN,59,4080413_18934,"BRANCH AVE",1,,98,4080413,505
GREEN,59,4080469_18934,"BRANCH AVE",1,,98,4080469,506
GREEN,59,4080409_18934,"BRANCH AVE",1,,98,4080409,501
GREEN,59,4080411_18934,"BRANCH AVE",1,,98,4080411,502
GREEN,59,4080470_18934,"BRANCH AVE",1,,98,4080470,503
GREEN,59,4080412_18934,"BRANCH AVE",1,,98,4080412,504
GREEN,59,4080426_18934,"BRANCH AVE",1,,98,4080426,505
GREEN,59,4080471_18934,"BRANCH AVE",1,,98,4080471,506
GREEN,59,4080428_18934,"BRANCH AVE",1,,98,4080428,501
GREEN,59,4080429_18934,"BRANCH AVE",1,,98,4080429,502
GREEN,59,4080472_18934,"BRANCH AVE",1,,98,4080472,503
GREEN,59,4080416_18934,"BRANCH AVE",1,,98,4080416,504
GREEN,59,4080424_18934,"BRANCH AVE",1,,98,4080424,505
GREEN,59,4080473_18934,"BRANCH AVE",1,,98,4080473,506
GREEN,59,4080420_18934,"BRANCH AVE",1,,98,4080420,501
GREEN,59,4080435_18934,"BRANCH AVE",1,,98,4080435,502
GREEN,59,4080474_18934,"BRANCH AVE",1,,98,4080474,503
GREEN,59,4080436_18934,"BRANCH AVE",1,,98,4080436,504
GREEN,59,4080432_18934,"BRANCH AVE",1,,98,4080432,505
GREEN,59,4080431_18934,"BRANCH AVE",1,,98,4080431,501
GREEN,59,4080439_18934,"BRANCH AVE",1,,98,4080439,502
GREEN,59,4080446_18934,"BRANCH AVE",1,,98,4080446,504
GREEN,59,4080442_18934,"BRANCH AVE",1,,98,4080442,505
GREEN,59,4080447_18934,"BRANCH AVE",1,,99,4080447,501
GREEN,60,3987039_18934,"BRANCH AVE",1,,100,3987039,501
GREEN,60,3987032_18934,"BRANCH AVE",1,,100,3987032,502
GREEN,60,3987054_18934,"BRANCH AVE",1,,100,3987054,503
GREEN,60,3987049_18934,"BRANCH AVE",1,,100,3987049,504
GREEN,60,3987050_18934,"BRANCH AVE",1,,100,3987050,505
GREEN,60,3987063_18934,"BRANCH AVE",1,,100,3987063,512
GREEN,60,3987048_18934,"BRANCH AVE",1,,100,3987048,506
GREEN,60,3987053_18934,"BRANCH AVE",1,,100,3987053,507
GREEN,60,3987042_18934,"BRANCH AVE",1,,100,3987042,508
GREEN,60,3987043_18934,"BRANCH AVE",1,,100,3987043,509
GREEN,60,3987044_18934,"BRANCH AVE",1,,100,3987044,510
GREEN,60,3987162_18934,"BRANCH AVE",1,,100,3987162,511
GREEN,60,3987127_18934,"BRANCH AVE",1,,100,3987127,501
GREEN,60,3987132_18934,"BRANCH AVE",1,,100,3987132,502
GREEN,60,3987172_18934,"BRANCH AVE",1,,100,3987172,503
GREEN,60,3987091_18934,"BRANCH AVE",1,,100,3987091,504
GREEN,60,3987173_18934,"BRANCH AVE",1,,100,3987173,505
GREEN,60,3987123_18934,"BRANCH AVE",1,,100,3987123,512
GREEN,60,3987093_18934,"BRANCH AVE",1,,100,3987093,506
GREEN,60,3987114_18934,"BRANCH AVE",1,,100,3987114,507
GREEN,60,3987120_18934,"BRANCH AVE",1,,100,3987120,508
GREEN,60,3987150_18934,"BRANCH AVE",1,,100,3987150,509
GREEN,60,3987155_18934,"BRANCH AVE",1,,100,3987155,510
GREEN,60,3987160_18934,"BRANCH AVE",1,,100,3987160,511
GREEN,60,3987154_18934,"BRANCH AVE",1,,100,3987154,501
GREEN,60,3987145_18934,"BRANCH AVE",1,,100,3987145,502
GREEN,60,3987146_18934,"BRANCH AVE",1,,100,3987146,503
