route_id,service_id,trip_id,trip_headsign,trip_short_name,direction_id,block_id,shape_id,wheelchair_accessible,bikes_allowed
11677,1,2789630,91 MONDAWMIN METRO,,0,4926,124682,1,1
11677,1,2789631,91 MONDAWMIN METRO,,0,4926,124682,1,1
11677,1,2789632,91 MONDAWMIN METRO,,0,4926,124682,1,1
11677,1,2789633,91 MONDAWMIN METRO,,0,4926,124682,1,1
11677,1,2789634,91 MONDAWMIN METRO,,0,4926,124682,1,1
11677,1,2789635,91 MONDAWMIN METRO,,0,4927,124682,1,1
11677,1,2789636,91 MONDAWMIN METRO,,0,4927,124682,1,1
11677,1,2789637,91 MONDAWMIN METRO,,0,4927,124682,1,1
11677,1,2789638,91 MONDAWMIN METRO,,0,4927,124682,1,1
11677,1,2789639,91 MONDAWMIN METRO,,0,4928,124682,1,1
11677,1,2789640,91 MONDAWMIN METRO,,0,4928,124682,1,1
11677,1,2789641,91 MONDAWMIN METRO,,0,4928,124682,1,1
11677,1,2789642,91 MONDAWMIN METRO,,0,4928,124682,1,1
11677,1,2789643,91 MONDAWMIN METRO,,0,4928,124682,1,1
11677,1,2789644,91 MONDAWMIN METRO,,0,4928,124682,1,1
11677,1,2789645,91 MONDAWMIN METRO,,0,4928,124682,1,1
11677,1,2789646,91 SINAI HOSPITAL,,1,4928,124684,1,1
11677,1,2789647,91 SINAI HOSPITAL,,1,4928,124684,1,1
11677,1,2789648,91 SINAI HOSPITAL,,1,4925,124684,1,1
11677,1,2789649,91 SINAI HOSPITAL,,1,4925,124684,1,1
11677,1,2789650,91 SINAI HOSPITAL,,1,4925,124684,1,1
11677,1,2789651,91 SINAI HOSPITAL,,1,4925,124684,1,1
11677,1,2789652,91 SINAI HOSPITAL,,1,4929,124684,1,1
11677,1,2789653,91 SINAI HOSPITAL,,1,4929,124684,1,1
11677,1,2789654,91 SINAI HOSPITAL,,1,4926,124684,1,1
11677,1,2789655,91 SINAI HOSPITAL,,1,4926,124684,1,1
11677,1,2789656,91 SINAI HOSPITAL,,1,4926,124684,1,1
11677,1,2789657,91 SINAI HOSPITAL,,1,4926,124684,1,1
11677,1,2789658,91 SINAI HOSPITAL,,1,4926,124684,1,1
11677,1,2789659,91 SINAI HOSPITAL,,1,4926,124684,1,1
11677,1,2789660,91 SINAI HOSPITAL,,1,4926,124684,1,1
11677,1,2789661,91 SINAI HOSPITAL,,1,4927,124684,1,1
11677,1,2789662,91 SINAI HOSPITAL,,1,4927,124684,1,1
11677,1,2789663,91 SINAI HOSPITAL,,1,4927,124684,1,1
11677,1,2789664,91 SINAI HOSPITAL,,1,4927,124684,1,1
11677,1,2789665,91 SINAI HOSPITAL,,1,4928,124684,1,1
11677,1,2789666,91 SINAI HOSPITAL,,1,4928,124684,1,1
11677,1,2789667,91 SINAI HOSPITAL,,1,4928,124684,1,1
11677,1,2789668,91 SINAI HOSPITAL,,1,4928,124684,1,1
11677,1,2789669,91 SINAI HOSPITAL,,1,4928,124684,1,1
11677,1,2789670,91 SINAI HOSPITAL,,1,4928,124684,1,1
11677,1,2789671,91 SINAI HOSPITAL,,1,4928,124684,1,1
11677,1,2789672,91 SINAI HOSPITAL,,1,4928,124684,1,1
11679,1,2789820,93 TOWSON,,0,3701,124694,1,1
11679,1,2789821,93 TOWSON,,0,3700,124694,1,1
11679,1,2789822,93 TOWSON,,0,3701,124694,1,1
11679,1,2789823,93 TOWSON,,0,3702,124694,1,1
11679,1,2789824,93 TOWSON,,0,3700,124694,1,1
11679,1,2789825,93 TOWSON,,0,3703,124694,1,1
11679,1,2789826,93 TOWSON,,0,3704,124694,1,1
11679,1,2789827,93 TOWSON,,0,3702,124694,1,1
11679,1,2789828,93 TOWSON,,0,3707,124694,1,1
11679,1,2789829,93 TOWSON,,0,3710,124694,1,1
11679,1,2789830,93 TOWSON,,0,3711,124694,1,1
11679,1,2789831,93 TOWSON,,0,3712,124694,1,1
11679,1,2789832,93 TOWSON,,0,3713,124694,1,1
11679,1,2789833,93 TOWSON,,0,3710,124694,1,1
11679,1,2789834,93 TOWSON,,0,3714,124694,1,1
11679,1,2789835,93 TOWSON,,0,3715,124694,1,1
11679,1,2789836,93 TOWSON,,0,3714,124694,1,1
11679,1,2789837,93 TOWSON,,0,3715,124694,1,1
11679,1,2789838,93 TOWSON,,0,3714,124694,1,1
11679,1,2789839,93 TOWSON,,0,3715,124694,1,1
11679,1,2789840,93 TOWSON,,0,3706,124694,1,1
11679,1,2789841,93 TOWSON,,0,3707,124694,1,1
11679,1,2789842,93 TOWSON,,0,3705,124694,1,1
11679,1,2789843,93 TOWSON,,0,3706,124694,1,1
11679,1,2789844,93 TOWSON,,0,3707,124694,1,1
11679,1,2789845,93 TOWSON,,0,3705,124694,1,1
11679,1,2789846,93 TOWSON,,0,3708,124694,1,1
11679,1,2789847,93 TOWSON,,0,3707,124694,1,1
11679,1,2789848,93 TOWSON,,0,3709,124694,1,1
11679,1,2789849,93 TOWSON,,0,3708,124694,1,1
11679,1,2789850,93 TOWSON,,0,3714,124694,1,1
11679,1,2789851,93 TOWSON,,0,3715,124694,1,1
11679,1,2789852,93 HUNT VALLEY,,1,3700,124696,1,1
11679,1,2789853,93 HUNT VALLEY,,1,3701,124696,1,1
11679,1,2789854,93 HUNT VALLEY,,1,3700,124696,1,1
11679,1,2789855,93 HUNT VALLEY,,1,3703,124696,1,1
11679,1,2789856,93 HUNT VALLEY,,1,3704,124696,1,1
11679,1,2789857,93 HUNT VALLEY,,1,3702,124696,1,1
11679,1,2789858,93 HUNT VALLEY,,1,3706,124696,1,1
11679,1,2789859,93 HUNT VALLEY,,1,3707,124696,1,1
11679,1,2789860,93 HUNT VALLEY,,1,3710,124696,1,1
11679,1,2789861,93 HUNT VALLEY,,1,3711,124696,1,1
11679,1,2789862,93 HUNT VALLEY,,1,3712,124696,1,1
11679,1,2789863,93 HUNT VALLEY,,1,3713,124696,1,1
11679,1,2789864,93 HUNT VALLEY,,1,3710,124696,1,1
11679,1,2789865,93 HUNT VALLEY,,1,3714,124696,1,1
11679,1,2789866,93 HUNT VALLEY,,1,3712,124696,1,1
11679,1,2789867,93 HUNT VALLEY,,1,3715,124696,1,1
11679,1,2789868,93 HUNT VALLEY,,1,3714,124696,1,1
11679,1,2789869,93 HUNT VALLEY,,1,3715,124696,1,1
11679,1,2789870,93 HUNT VALLEY,,1,3714,124696,1,1
11679,1,2789871,93 HUNT VALLEY,,1,3715,124696,1,1
